X,Y,OBJECTID,SAMPLE_DAT,LATITUDE,LONGITUDE,DEPTH,Count_,NAME,HAB_ID,LOCATION,SAMPLE_ID,last_edited_date
-81.97891000011137,26.387799999656313,20294,2014-05-13T00:00:00.000Z,26.3878,-81.97891,0.5,0,Karenia brevis,HABW140513-833,"Sanibel Beach; 4.9 mi SE of",87566142,2016-09-13T19:54:13.000Z
-81.97891000011137,26.387799999656313,20295,2014-05-13T00:00:00.000Z,26.3878,-81.97891,6.8,0,Karenia brevis,HABW140513-834,"Sanibel Beach; 4.9 mi SE of",87566143,2016-09-13T19:54:13.000Z
-82.929149999829292,27.358319999904825,20296,2014-05-13T00:00:00.000Z,27.35832,-82.92915,0.5,0,Karenia brevis,HABW140513-835,"Longboat Key; 19 mi W of",87566144,2016-09-13T19:54:13.000Z
-82.929149999829292,27.358319999904825,20297,2014-05-13T00:00:00.000Z,27.35832,-82.92915,18,0,Karenia brevis,HABW140513-836,"Longboat Key; 19 mi W of",87566145,2016-09-13T19:54:13.000Z
-82.760110000042161,27.136399999817339,20298,2014-05-13T00:00:00.000Z,27.1364,-82.76011,0.5,0,Karenia brevis,HABW140513-837,"Casey Key; 18 mi W of",87566146,2016-09-13T19:54:13.000Z
-82.760110000042161,27.136399999817339,20299,2014-05-13T00:00:00.000Z,27.1364,-82.76011,12.6,0,Karenia brevis,HABW140513-838,"Casey Key; 18 mi W of",87566147,2016-09-13T19:54:13.000Z
-82.094600000202334,26.667800000340801,20300,2014-05-13T00:00:00.000Z,26.6678,-82.0946,1.1,0,Karenia brevis,HABW140514-001,Ben Coleman Keys (Matlacha Pass),81943230,2016-09-13T19:54:13.000Z
-82.070399999997491,26.562700000285069,20301,2014-05-13T00:00:00.000Z,26.5627,-82.0704,1.5,0,Karenia brevis,HABW140514-002,"Deer Stop Keys; SW of (Matlacha Pass)",81943231,2016-09-13T19:54:13.000Z
-82.074200000311777,26.625000000247649,20302,2014-05-13T00:00:00.000Z,26.625,-82.0742,1.6,0,Karenia brevis,HABW140514-003,"Porpoise Point Island; SW of (Matlacha Pass)",81943232,2016-09-13T19:54:13.000Z
-80.658600000014943,28.404899999736511,20303,2014-05-13T00:00:00.000Z,28.4049,-80.6586,5,0,Karenia brevis,HABW140514-004,"Kelly Park; NE of (Banana River)",81943233,2016-09-13T19:54:13.000Z
-82.582759999971969,27.343980000217019,20304,2014-05-13T00:00:00.000Z,27.34398,-82.58276,0.5,0,Karenia brevis,HABW140514-005,"Quick Point; N of (Sarasota Bay)",81943234,2016-09-13T19:54:13.000Z
-82.687999999872403,27.443199999807582,20305,2014-05-13T00:00:00.000Z,27.4432,-82.688,0.5,0,Karenia brevis,HABW140514-006,Longboat Pass (Sarasota Bay),81943235,2016-09-13T19:54:13.000Z
-82.638150000016537,27.425749999817498,20306,2014-05-13T00:00:00.000Z,27.42575,-82.63815,0.5,0,Karenia brevis,HABW140514-007,"Long Bar Point; W of (Sarasota Bay)",81943236,2016-09-13T19:54:13.000Z
-83.008129999983325,29.138500000148881,20307,2014-05-13T00:00:00.000Z,29.1385,-83.00813,0.5,0,Karenia brevis,HABW140514-008,"Dog Island; E of",81943237,2016-09-13T19:54:13.000Z
-83.110199999756333,29.081320000091118,20308,2014-05-13T00:00:00.000Z,29.08132,-83.1102,0.5,0,Karenia brevis,HABW140515-001,"Seahorse Key; 2.5 mi SW of",81943243,2016-09-13T19:54:13.000Z
-83.180869999627319,29.023130000392211,20309,2014-05-13T00:00:00.000Z,29.02313,-83.18087,0.5,0,Karenia brevis,HABW140515-002,"Seahorse Key; 8.4 mi SW of",81943244,2016-09-13T19:54:13.000Z
-81.308890000302782,29.928330000235405,20310,2014-05-13T00:00:00.000Z,29.92833,-81.30889,0.5,0,Karenia brevis,HABW140515-013,"Kurths Island; NE of (Tolomato River)",81943255,2016-09-13T19:54:13.000Z
-81.327160000331588,29.98466999998594,20311,2014-05-13T00:00:00.000Z,29.98467,-81.32716,0.5,0,Karenia brevis,HABW140515-014,"Guana River; mouth of (Tolomato River)",81943256,2016-09-13T19:54:13.000Z
-87.054250000086824,30.427471999766695,20312,2014-05-13T00:00:00.000Z,30.427472,-87.05425,0.5,0,Karenia brevis,HABW140515-021,"White Point; 1.6 mi SE of (East Bay)",81943263,2016-09-13T19:54:13.000Z
-87.120359999760339,30.430269999805123,20313,2014-05-13T00:00:00.000Z,30.43027,-87.12036,0.5,0,Karenia brevis,HABW140515-022,"Garcon Point; SW of; Pensacola Bay",81943264,2016-09-13T19:54:13.000Z
-82.824299999916207,27.960350000300778,20314,2014-05-12T00:00:00.000Z,27.96035,-82.8243,0.5,333,Karenia brevis,HABW140512-005,Clearwater Pass,81943198,2016-09-13T19:54:13.000Z
-82.831299999596837,27.82240000006707,20315,2014-05-12T00:00:00.000Z,27.8224,-82.8313,0.5,0,Karenia brevis,HABW140512-006,Redington Pier,81943199,2016-09-13T19:54:13.000Z
-82.739100000056212,27.613299999721288,20316,2014-05-12T00:00:00.000Z,27.6133,-82.7391,0.5,333,Karenia brevis,HABW140512-007,"Mullet Key; Gulf Pier",81943200,2016-09-13T19:54:13.000Z
-82.650800000389012,27.605499999749465,20317,2014-05-12T00:00:00.000Z,27.6055,-82.6508,0.5,333,Karenia brevis,HABW140512-008,"Skyway Fishing Pier; South (Lower Tampa Bay)",81943201,2016-09-13T19:54:13.000Z
-82.614820000198051,27.585120000021657,20318,2014-05-12T00:00:00.000Z,27.58512,-82.61482,0.5,0,Karenia brevis,HABW140512-009,Fletcher Point (Lower Tampa Bay),81943202,2016-09-13T19:54:13.000Z
-82.652199999606481,27.495900000377624,20319,2014-05-12T00:00:00.000Z,27.4959,-82.6522,0.5,0,Karenia brevis,HABW140512-010,Palma Sola Bay Bridge,81943203,2016-09-13T19:54:13.000Z
-82.687979999780907,27.446019999989399,20320,2014-05-12T00:00:00.000Z,27.44602,-82.68798,0.5,0,Karenia brevis,HABW140512-011,Longboat Pass Boat Ramp (Sarasota Bay),81943204,2016-09-13T19:54:13.000Z
-82.740199999698049,27.538500000157871,20321,2014-05-12T00:00:00.000Z,27.5385,-82.7402,0.5,0,Karenia brevis,HABW140512-012,"Anna Maria Island; Rod & Reel Pier (Lower Tampa Bay)",81943205,2016-09-13T19:54:13.000Z
